tag,model,rank,feature,modality,importance_pct
10s,GB,1,ecg_ECG_skewness,ecg,4.01
10s,GB,2,eeg_TP9_gamma_med_power,eeg,2.753
10s,GB,3,ecg_ECG_min,ecg,2.578
10s,GB,4,eeg_AF7_fft_max,eeg,2.3
10s,GB,5,eda_EDA_tonic_max,eda,2.241
10s,GB,6,gaze_pupil_right_mean,gaze,1.942
10s,GB,7,eeg_TP9_gamma_max_power,eeg,1.906
10s,GB,8,eeg_AF7_gamma_med_power,eeg,1.884
10s,GB,9,eeg_TP9_beta_abs_power,eeg,1.492
10s,GB,10,eeg_AF7_fft_median,eeg,1.431
10s,GB,11,eeg_AF8_delta_abs_power,eeg,1.397
10s,GB,12,eda_EDA_phasic_auc2,eda,1.388
10s,GB,13,eda_EDA_min,eda,1.293
10s,GB,14,gaze_blink_mean,gaze,1.282
10s,GB,15,eeg_TP10_fft_median,eeg,1.278
10s,GB,16,eeg_AF7_gamma_max_power,eeg,1.267
10s,GB,17,gaze_pupil_left_mean,gaze,1.267
10s,GB,18,gaze_fixation_duration_max,gaze,0.992
10s,GB,19,gaze_pupil_left_min,gaze,0.988
10s,GB,20,eda_EDA_entropy,eda,0.975
10s,LGBM,1,eeg_TP9_gamma_med_power,eeg,3.58
10s,LGBM,2,ecg_ECG_min,ecg,2.124
10s,LGBM,3,eda_EDA_min,eda,2.091
10s,LGBM,4,eeg_TP9_beta_abs_power,eeg,1.927
10s,LGBM,5,eeg_AF8_delta_abs_power,eeg,1.74
10s,LGBM,6,gaze_pupil_left_mean,gaze,1.697
10s,LGBM,7,gaze_pupil_right_mean,gaze,1.686
10s,LGBM,8,eeg_AF7_fft_max,eeg,1.585
10s,LGBM,9,gaze_pupil_right_min,gaze,1.482
10s,LGBM,10,eda_EDA_tonic_max,eda,1.326
10s,LGBM,11,eeg_AF7_higuchi_fd,eeg,1.32
10s,LGBM,12,ecg_ECG_skewness,ecg,1.287
10s,LGBM,13,gaze_saccade_peak_decel_min,gaze,1.148
10s,LGBM,14,eda_EDA_iqr,eda,1.092
10s,LGBM,15,eeg_AF7_fft_median,eeg,1.081
10s,LGBM,16,gaze_n_saccades,gaze,0.979
10s,LGBM,17,eeg_AF7_beta_max_power,eeg,0.958
10s,LGBM,18,ecg_HRV_pNN50,ecg,0.914
10s,LGBM,19,eeg_AF8_gamma_max_power,eeg,0.895
10s,LGBM,20,eda_phasic_n_peaks,eda,0.877
10s,LDA,1,eda_EDA_mean,eda,40.516
10s,LDA,2,eda_EDA_tonic_mean,eda,40.189
10s,LDA,3,eda_EDA_phasic_mean,eda,3.801
10s,LDA,4,eeg_AF7_gamma_mean_power,eeg,2.192
10s,LDA,5,eeg_AF7_gamma_abs_power,eeg,2.192
10s,LDA,6,eeg_AF8_gamma_abs_power,eeg,2.144
10s,LDA,7,eeg_AF8_gamma_mean_power,eeg,2.144
10s,LDA,8,eeg_TP10_gamma_abs_power,eeg,1.14
10s,LDA,9,eeg_TP10_gamma_mean_power,eeg,1.14
10s,LDA,10,eeg_TP9_gamma_mean_power,eeg,0.845
10s,LDA,11,eeg_TP9_gamma_abs_power,eeg,0.845
10s,LDA,12,eeg_TP10_beta_mean_power,eeg,0.318
10s,LDA,13,eeg_TP10_beta_abs_power,eeg,0.318
10s,LDA,14,eeg_TP9_beta_mean_power,eeg,0.309
10s,LDA,15,eeg_TP9_beta_abs_power,eeg,0.309
10s,LDA,16,eeg_AF7_alpha_mean_power,eeg,0.178
10s,LDA,17,eeg_AF7_alpha_abs_power,eeg,0.178
10s,LDA,18,ecg_HRV_peak_freq_ULF,ecg,0.175
10s,LDA,19,eeg_AF8_beta_mean_power,eeg,0.152
10s,LDA,20,eeg_AF8_beta_abs_power,eeg,0.152
10s,LR,1,eeg_AF8_spectral_entropy,eeg,1.805
10s,LR,2,ecg_ECG_skewness,ecg,1.772
10s,LR,3,eeg_AF8_lziv_complexity,eeg,1.644
10s,LR,4,eeg_TP10_delta_max_power,eeg,1.64
10s,LR,5,eeg_AF8_hjorth_mobility,eeg,1.617
10s,LR,6,eeg_TP10_fft_median,eeg,1.605
10s,LR,7,eeg_TP9_delta_max_power,eeg,1.57
10s,LR,8,eeg_TP9_higuchi_fd,eeg,1.544
10s,LR,9,eeg_AF7_fft_mean,eeg,1.491
10s,LR,10,eeg_TP9_theta_max_power,eeg,1.488
10s,LR,11,ecg_ECG_iqr,ecg,1.339
10s,LR,12,ecg_HRV_max,ecg,1.324
10s,LR,13,eeg_AF8_higuchi_fd,eeg,1.281
10s,LR,14,ecg_ECG_mad,ecg,1.198
10s,LR,15,eeg_AF7_alpha_max_power,eeg,1.186
10s,LR,16,eeg_TP9_fft_median,eeg,1.16
10s,LR,17,gaze_pupil_left_min,gaze,1.134
10s,LR,18,eeg_AF7_spectral_entropy,eeg,1.118
10s,LR,19,eeg_TP9_fft_mean,eeg,1.116
10s,LR,20,eeg_TP9_delta_abs_power,eeg,1.089
10s,MLP,1,ecg_ECG_skewness,ecg,6.635
10s,MLP,2,gaze_pupil_left_mean,gaze,2.616
10s,MLP,3,gaze_pupil_left_min,gaze,2.557
10s,MLP,4,eda_EDA_min,eda,2.151
10s,MLP,5,eda_EDA_tonic_mean,eda,1.909
10s,MLP,6,eeg_TP9_alpha_min_power,eeg,1.84
10s,MLP,7,eeg_TP9_lziv_complexity,eeg,1.713
10s,MLP,8,eda_phasic_n_peaks,eda,1.666
10s,MLP,9,eda_EDA_tonic_auc2,eda,1.643
10s,MLP,10,gaze_pupil_right_mean,gaze,1.619
10s,MLP,11,eeg_AF7_alpha_min_power,eeg,1.564
10s,MLP,12,eeg_TP10_hjorth_complexity,eeg,1.473
10s,MLP,13,gaze_saccade_duration_mean,gaze,1.375
10s,MLP,14,ecg_ECG_auc2,ecg,1.363
10s,MLP,15,eeg_AF8_lziv_complexity,eeg,1.359
10s,MLP,16,eeg_AF8_fft_min,eeg,1.334
10s,MLP,17,ecg_HRV_sd,ecg,1.318
10s,MLP,18,eeg_AF7_lziv_complexity,eeg,1.311
10s,MLP,19,eeg_TP9_fft_mean,eeg,1.276
10s,MLP,20,eda_EDA_phasic_auc2,eda,1.269
10s,RF,1,ecg_ECG_skewness,ecg,2.202
10s,RF,2,ecg_ECG_min,ecg,1.961
10s,RF,3,eeg_TP9_beta_mean_power,eeg,1.914
10s,RF,4,eeg_TP9_beta_abs_power,eeg,1.887
10s,RF,5,eeg_TP9_gamma_med_power,eeg,1.793
10s,RF,6,eeg_AF7_fft_median,eeg,1.293
10s,RF,7,eeg_AF8_fft_median,eeg,1.269
10s,RF,8,eda_EDA_tonic_max,eda,1.184
10s,RF,9,eeg_AF7_higuchi_fd,eeg,1.135
10s,RF,10,eeg_AF7_gamma_med_power,eeg,1.124
10s,RF,11,gaze_blink_mean,gaze,1.091
10s,RF,12,eeg_TP9_beta_max_power,eeg,1.09
10s,RF,13,eeg_TP9_alpha_mean_power,eeg,0.982
10s,RF,14,ecg_HRV_min,ecg,0.976
10s,RF,15,ecg_ECG_max,ecg,0.951
10s,RF,16,eeg_TP9_alpha_max_power,eeg,0.949
10s,RF,17,eda_EDA_min,eda,0.948
10s,RF,18,eeg_AF7_fft_mean,eeg,0.924
10s,RF,19,eeg_AF7_fft_max,eeg,0.921
10s,RF,20,gaze_pupil_right_mean,gaze,0.918
10s,SVM,1,ecg_ECG_skewness,ecg,7.057
10s,SVM,2,eeg_AF8_lziv_complexity,eeg,2.892
10s,SVM,3,eda_phasic_n_peaks,eda,2.495
10s,SVM,4,gaze_pupil_left_mean,gaze,2.051
10s,SVM,5,eeg_TP10_fft_mean,eeg,1.62
10s,SVM,6,eeg_TP9_hjorth_mobility,eeg,1.582
10s,SVM,7,eeg_AF8_hjorth_mobility,eeg,1.555
10s,SVM,8,gaze_pupil_left_min,gaze,1.548
10s,SVM,9,gaze_saccade_duration_max,gaze,1.542
10s,SVM,10,eda_phasic_rise_time_mean,eda,1.49
10s,SVM,11,eeg_TP10_theta_med_power,eeg,1.463
10s,SVM,12,eeg_TP9_beta_min_power,eeg,1.445
10s,SVM,13,ecg_HRV_entropy,ecg,1.245
10s,SVM,14,eeg_TP10_hjorth_complexity,eeg,1.244
10s,SVM,15,eda_EDA_tonic_min,eda,1.241
10s,SVM,16,ecg_ECG_min,ecg,1.228
10s,SVM,17,eda_EDA_min,eda,1.213
10s,SVM,18,eda_EDA_tonic_mean,eda,1.205
10s,SVM,19,gaze_saccade_amplitude_mean,gaze,1.071
10s,SVM,20,ecg_HRV_pNN50,ecg,1.067
10s,XGBoost,1,eeg_TP9_beta_abs_power,eeg,4.277
10s,XGBoost,2,gaze_saccade_peak_decel_min,gaze,3.23
10s,XGBoost,3,eda_EDA_iqr,eda,2.846
10s,XGBoost,4,eeg_TP9_gamma_med_power,eeg,2.325
10s,XGBoost,5,ecg_ECG_skewness,ecg,1.967
10s,XGBoost,6,eeg_TP9_lziv_complexity,eeg,1.907
10s,XGBoost,7,ecg_HRV_median,ecg,1.734
10s,XGBoost,8,eeg_AF8_delta_abs_power,eeg,1.629
10s,XGBoost,9,eeg_AF8_gamma_med_power,eeg,1.549
10s,XGBoost,10,ecg_HRV_auc2,ecg,1.48
10s,XGBoost,11,eeg_TP9_alpha_abs_power,eeg,1.437
10s,XGBoost,12,gaze_pupil_left_min,gaze,1.385
10s,XGBoost,13,eeg_AF7_fft_max,eeg,1.334
10s,XGBoost,14,ecg_HRV_min,ecg,1.323
10s,XGBoost,15,eeg_AF7_fft_median,eeg,1.267
10s,XGBoost,16,eeg_AF8_theta_abs_power,eeg,1.259
10s,XGBoost,17,eda_EDA_phasic_auc2,eda,1.237
10s,XGBoost,18,gaze_pupil_right_min,gaze,1.14
10s,XGBoost,19,eeg_TP9_delta_max_power,eeg,1.124
10s,XGBoost,20,eeg_AF8_delta_med_power,eeg,1.065
