combo,model,ms_per_sample,n_test,window
ECG,GB,0.0027,838,10s
ECG,LGBM,0.1846,838,10s
ECG,LDA,0.0001,838,10s
ECG,LR,0.0001,838,10s
ECG,MLP,0.0002,838,10s
ECG,RF,0.0659,838,10s
ECG,SVM,0.0939,838,10s
ECG,XGBoost,0.0025,838,10s
EDA,GB,0.0024,838,10s
EDA,LGBM,0.2669,838,10s
EDA,LDA,0.0,838,10s
EDA,LR,0.0001,838,10s
EDA,MLP,0.0002,838,10s
EDA,RF,0.0632,838,10s
EDA,SVM,0.1001,838,10s
EDA,XGBoost,0.0024,838,10s
EEG,GB,0.0029,838,10s
EEG,LGBM,0.2131,838,10s
EEG,LDA,0.0001,838,10s
EEG,LR,0.0001,838,10s
EEG,MLP,0.0002,838,10s
EEG,RF,0.0663,838,10s
EEG,SVM,0.1274,838,10s
EEG,XGBoost,0.0026,838,10s
Gaze,GB,0.0026,838,10s
Gaze,LGBM,0.2343,838,10s
Gaze,LDA,0.0001,838,10s
Gaze,LR,0.0001,838,10s
Gaze,MLP,0.0002,838,10s
Gaze,RF,0.0606,838,10s
Gaze,SVM,0.0923,838,10s
Gaze,XGBoost,0.0025,838,10s
ECG+EDA,GB,0.0027,838,10s
ECG+EDA,LGBM,0.199,838,10s
ECG+EDA,LDA,0.0001,838,10s
ECG+EDA,LR,0.0001,838,10s
ECG+EDA,MLP,0.0002,838,10s
ECG+EDA,RF,0.0671,838,10s
ECG+EDA,SVM,0.1213,838,10s
ECG+EDA,XGBoost,0.0026,838,10s
ECG+EEG,GB,0.0029,838,10s
ECG+EEG,LGBM,0.1941,838,10s
ECG+EEG,LDA,0.0001,838,10s
ECG+EEG,LR,0.0001,838,10s
ECG+EEG,MLP,0.0002,838,10s
ECG+EEG,RF,0.0666,838,10s
ECG+EEG,SVM,0.1542,838,10s
ECG+EEG,XGBoost,0.0026,838,10s
ECG+Gaze,GB,0.0028,838,10s
ECG+Gaze,LGBM,0.1859,838,10s
ECG+Gaze,LDA,0.0001,838,10s
ECG+Gaze,LR,0.0001,838,10s
ECG+Gaze,MLP,0.0002,838,10s
ECG+Gaze,RF,0.0652,838,10s
ECG+Gaze,SVM,0.1202,838,10s
ECG+Gaze,XGBoost,0.0026,838,10s
EDA+EEG,GB,0.0031,838,10s
EDA+EEG,LGBM,0.2195,838,10s
EDA+EEG,LDA,0.0001,838,10s
EDA+EEG,LR,0.0001,838,10s
EDA+EEG,MLP,0.0002,838,10s
EDA+EEG,RF,0.0667,838,10s
EDA+EEG,SVM,0.1529,838,10s
EDA+EEG,XGBoost,0.0026,838,10s
EDA+Gaze,GB,0.0027,838,10s
EDA+Gaze,LGBM,0.2061,838,10s
EDA+Gaze,LDA,0.0001,838,10s
EDA+Gaze,LR,0.0001,838,10s
EDA+Gaze,MLP,0.0002,838,10s
EDA+Gaze,RF,0.0624,838,10s
EDA+Gaze,SVM,0.1204,838,10s
EDA+Gaze,XGBoost,0.0026,838,10s
EEG+Gaze,GB,0.0032,838,10s
EEG+Gaze,LGBM,0.2109,838,10s
EEG+Gaze,LDA,0.0001,838,10s
EEG+Gaze,LR,0.0001,838,10s
EEG+Gaze,MLP,0.0002,838,10s
EEG+Gaze,RF,0.0662,838,10s
EEG+Gaze,SVM,0.1527,838,10s
EEG+Gaze,XGBoost,0.0026,838,10s
ECG+EDA+EEG,GB,0.0028,838,10s
ECG+EDA+EEG,LGBM,0.2055,838,10s
ECG+EDA+EEG,LDA,0.0001,838,10s
ECG+EDA+EEG,LR,0.0001,838,10s
ECG+EDA+EEG,MLP,0.0003,838,10s
ECG+EDA+EEG,RF,0.0659,838,10s
ECG+EDA+EEG,SVM,0.1733,838,10s
ECG+EDA+EEG,XGBoost,0.0027,838,10s
ECG+EDA+Gaze,GB,0.0029,838,10s
ECG+EDA+Gaze,LGBM,0.1872,838,10s
ECG+EDA+Gaze,LDA,0.0001,838,10s
ECG+EDA+Gaze,LR,0.0001,838,10s
ECG+EDA+Gaze,MLP,0.0002,838,10s
ECG+EDA+Gaze,RF,0.0671,838,10s
ECG+EDA+Gaze,SVM,0.155,838,10s
ECG+EDA+Gaze,XGBoost,0.0026,838,10s
ECG+EEG+Gaze,GB,0.003,838,10s
ECG+EEG+Gaze,LGBM,0.1973,838,10s
ECG+EEG+Gaze,LDA,0.0001,838,10s
ECG+EEG+Gaze,LR,0.0001,838,10s
ECG+EEG+Gaze,MLP,0.0003,838,10s
ECG+EEG+Gaze,RF,0.0679,838,10s
ECG+EEG+Gaze,SVM,0.1718,838,10s
ECG+EEG+Gaze,XGBoost,0.0027,838,10s
EDA+EEG+Gaze,GB,0.0031,838,10s
EDA+EEG+Gaze,LGBM,0.2,838,10s
EDA+EEG+Gaze,LDA,0.0001,838,10s
EDA+EEG+Gaze,LR,0.0001,838,10s
EDA+EEG+Gaze,MLP,0.0003,838,10s
EDA+EEG+Gaze,RF,0.0698,838,10s
EDA+EEG+Gaze,SVM,0.1781,838,10s
EDA+EEG+Gaze,XGBoost,0.0027,838,10s
All,GB,0.003,838,10s
All,LGBM,0.2206,838,10s
All,LDA,0.0001,838,10s
All,LR,0.0001,838,10s
All,MLP,0.0003,838,10s
All,RF,0.0676,838,10s
All,SVM,0.2038,838,10s
All,XGBoost,0.0027,838,10s
ECG,GB,0.0001,7537,2s
ECG,LGBM,0.0002,7537,2s
ECG,LDA,0.0,7537,2s
ECG,LR,0.0,7537,2s
ECG,MLP,0.0001,7537,2s
ECG,RF,0.0084,7537,2s
ECG,SVM,0.8366,7537,2s
ECG,XGBoost,0.0007,7537,2s
EDA,GB,0.0019,7537,2s
EDA,LGBM,0.2122,7537,2s
EDA,LDA,0.0,7537,2s
EDA,LR,0.0,7537,2s
EDA,MLP,0.0001,7537,2s
EDA,RF,0.025,7537,2s
EDA,SVM,0.8284,7537,2s
EDA,XGBoost,0.0023,7537,2s
EEG,GB,0.0025,7537,2s
EEG,LGBM,0.1914,7537,2s
EEG,LDA,0.0,7537,2s
EEG,LR,0.0001,7537,2s
EEG,MLP,0.0002,7537,2s
EEG,RF,0.0316,7537,2s
EEG,SVM,1.0242,7537,2s
EEG,XGBoost,0.0025,7537,2s
Gaze,GB,0.0023,7537,2s
Gaze,LGBM,0.2065,7537,2s
Gaze,LDA,0.0,7537,2s
Gaze,LR,0.0,7537,2s
Gaze,MLP,0.0001,7537,2s
Gaze,RF,0.0243,7537,2s
Gaze,SVM,0.7895,7537,2s
Gaze,XGBoost,0.0023,7537,2s
ECG+EDA,GB,0.002,7537,2s
ECG+EDA,LGBM,0.2027,7537,2s
ECG+EDA,LDA,0.0,7537,2s
ECG+EDA,LR,0.0,7537,2s
ECG+EDA,MLP,0.0001,7537,2s
ECG+EDA,RF,0.0255,7537,2s
ECG+EDA,SVM,1.1899,7537,2s
ECG+EDA,XGBoost,0.0024,7537,2s
ECG+EEG,GB,0.0026,7537,2s
ECG+EEG,LGBM,0.1769,7537,2s
ECG+EEG,LDA,0.0,7537,2s
ECG+EEG,LR,0.0001,7537,2s
ECG+EEG,MLP,0.0002,7537,2s
ECG+EEG,RF,0.0313,7537,2s
ECG+EEG,SVM,1.2426,7537,2s
ECG+EEG,XGBoost,0.0025,7537,2s
ECG+Gaze,GB,0.0024,7537,2s
ECG+Gaze,LGBM,0.2092,7537,2s
ECG+Gaze,LDA,0.0,7537,2s
ECG+Gaze,LR,0.0,7537,2s
ECG+Gaze,MLP,0.0001,7537,2s
ECG+Gaze,RF,0.0247,7537,2s
ECG+Gaze,SVM,1.1326,7537,2s
ECG+Gaze,XGBoost,0.0024,7537,2s
EDA+EEG,GB,0.0027,7537,2s
EDA+EEG,LGBM,0.1867,7537,2s
EDA+EEG,LDA,0.0,7537,2s
EDA+EEG,LR,0.0001,7537,2s
EDA+EEG,MLP,0.0002,7537,2s
EDA+EEG,RF,0.0301,7537,2s
EDA+EEG,SVM,1.1458,7537,2s
EDA+EEG,XGBoost,0.0025,7537,2s
EDA+Gaze,GB,0.0025,7537,2s
EDA+Gaze,LGBM,0.1978,7537,2s
EDA+Gaze,LDA,0.0,7537,2s
EDA+Gaze,LR,0.0,7537,2s
EDA+Gaze,MLP,0.0001,7537,2s
EDA+Gaze,RF,0.0253,7537,2s
EDA+Gaze,SVM,0.9901,7537,2s
EDA+Gaze,XGBoost,0.0024,7537,2s
EEG+Gaze,GB,0.0026,7537,2s
EEG+Gaze,LGBM,0.1808,7537,2s
EEG+Gaze,LDA,0.0,7537,2s
EEG+Gaze,LR,0.0001,7537,2s
EEG+Gaze,MLP,0.0002,7537,2s
EEG+Gaze,RF,0.0306,7537,2s
EEG+Gaze,SVM,1.1741,7537,2s
EEG+Gaze,XGBoost,0.0025,7537,2s
ECG+EDA+EEG,GB,0.0028,7537,2s
ECG+EDA+EEG,LGBM,0.1875,7537,2s
ECG+EDA+EEG,LDA,0.0001,7537,2s
ECG+EDA+EEG,LR,0.0001,7537,2s
ECG+EDA+EEG,MLP,0.0002,7537,2s
ECG+EDA+EEG,RF,0.0313,7537,2s
ECG+EDA+EEG,SVM,1.3253,7537,2s
ECG+EDA+EEG,XGBoost,0.0025,7537,2s
ECG+EDA+Gaze,GB,0.0026,7537,2s
ECG+EDA+Gaze,LGBM,0.1925,7537,2s
ECG+EDA+Gaze,LDA,0.0,7537,2s
ECG+EDA+Gaze,LR,0.0001,7537,2s
ECG+EDA+Gaze,MLP,0.0002,7537,2s
ECG+EDA+Gaze,RF,0.0255,7537,2s
ECG+EDA+Gaze,SVM,1.2955,7537,2s
ECG+EDA+Gaze,XGBoost,0.0025,7537,2s
ECG+EEG+Gaze,GB,0.0026,7537,2s
ECG+EEG+Gaze,LGBM,0.1807,7537,2s
ECG+EEG+Gaze,LDA,0.0001,7537,2s
ECG+EEG+Gaze,LR,0.0001,7537,2s
ECG+EEG+Gaze,MLP,0.0002,7537,2s
ECG+EEG+Gaze,RF,0.0314,7537,2s
ECG+EEG+Gaze,SVM,1.3521,7537,2s
ECG+EEG+Gaze,XGBoost,0.0025,7537,2s
EDA+EEG+Gaze,GB,0.0027,7537,2s
EDA+EEG+Gaze,LGBM,0.1843,7537,2s
EDA+EEG+Gaze,LDA,0.0001,7537,2s
EDA+EEG+Gaze,LR,0.0001,7537,2s
EDA+EEG+Gaze,MLP,0.0002,7537,2s
EDA+EEG+Gaze,RF,0.0296,7537,2s
EDA+EEG+Gaze,SVM,1.2555,7537,2s
EDA+EEG+Gaze,XGBoost,0.0025,7537,2s
All,GB,0.0027,7537,2s
All,LGBM,0.1856,7537,2s
All,LDA,0.0001,7537,2s
All,LR,0.0001,7537,2s
All,MLP,0.0002,7537,2s
All,RF,0.031,7537,2s
All,SVM,1.4377,7537,2s
All,XGBoost,0.0026,7537,2s
